MTT,Time,Pass Score,Pass,OD,Nudges,Crashes,IR_Threshold,US_Threshold,Nudge_Threshold,Nudge,Motor Speed,Sensitivity
Maze_1_Test_1_Trial_1,41,0.625,1,14,182,1,0.6,0.6,2,10,0.5,13.7
Maze_1_Test_1_Trial_2,195,0.667,1,16,159,1,0.6,0.6,2,10,0.5,13.7
Maze_1_Test_1_Trial_3,170,0.875,1,13,292,0,0.6,0.6,2,10,0.5,13.7
Maze_1_Test_1_Trial_4,139,1,1,10,166,0,0.6,0.6,2,10,0.5,13.7
Maze_1_Test_1_Trial_5,277,0.625,1,20,213,1,0.6,0.6,2,10,0.5,13.7
Maze_1_Test_2_Trial_1,270,0.875,1,19,232,0,0.904,0.92,3,15,0.75,20.574
Maze_1_Test_2_Trial_2,367,1,1,24,389,0,0.904,0.92,3,15,0.75,20.574
Maze_1_Test_2_Trial_3,365,0.667,1,25,433,1,0.904,0.92,3,15,0.75,20.574
Maze_1_Test_2_Trial_4,50,0.75,1,3,9,0,0.904,0.92,3,15,0.75,20.574
Maze_1_Test_2_Trial_5,30,0.75,1,3,6,0,0.904,0.92,3,15,0.75,20.574
Maze_1_Test_3_Trial_1,297,0.875,1,19,248,0,1.2,1.2,4,20,1,27.4
Maze_1_Test_3_Trial_2,69,0.625,1,5,70,1,1.2,1.2,4,20,1,27.4
Maze_1_Test_3_Trial_3,51,0.75,1,4,19,0,1.2,1.2,4,20,1,27.4
Maze_1_Test_3_Trial_4,100,0.625,1,6,97,1,1.2,1.2,4,20,1,27.4
Maze_1_Test_3_Trial_5,120,0.583,1,8,122,1,1.2,1.2,4,20,1,27.4
Maze_1_Test_4_Trial_1,143,0.75,1,2,16,0,1.504,1.52,5,25,1,34.024
Maze_1_Test_4_Trial_2,200,1,1,17,109,0,1.504,1.52,5,25,1,34.024
Maze_1_Test_4_Trial_3,25,0.75,1,3,6,0,1.504,1.52,5,25,1,34.024
Maze_1_Test_4_Trial_4,707,0.667,1,2,12,1,1.504,1.52,5,25,1,34.024
Maze_1_Test_4_Trial_5,43,0.875,1,13,208,0,1.504,1.52,5,25,1,34.024
Maze_1_Test_5_Trial_1,390,0.5,1,20,325,2,1.8,1.8,6,30,1,40.6
Maze_1_Test_5_Trial_2,178,0.625,1,14,144,1,1.8,1.8,6,30,1,40.6
Maze_1_Test_5_Trial_3,345,0.5,1,30,221,2,1.8,1.8,6,30,1,40.6
Maze_1_Test_5_Trial_4,260,0.625,1,19,266,1,1.8,1.8,6,30,1,40.6
Maze_1_Test_5_Trial_5,290,0.625,1,14,1430,1,1.8,1.8,6,30,1,40.6
Maze_1_Test_6_Trial_1,109,1,1,6,195,0,1.8,0.6,2,10,1,15.4
Maze_1_Test_6_Trial_2,129,1,1,8,253,0,1.8,0.6,2,10,1,15.4
Maze_1_Test_6_Trial_3,389,0.625,1,26,658,1,1.8,0.6,2,10,1,15.4
Maze_1_Test_6_Trial_4,0,0.083,0,24,405,1,1.8,0.6,2,10,1,15.4
Maze_1_Test_6_Trial_5,132,1,1,9,209,0,1.8,0.6,2,10,1,15.4
Maze_1_Test_7_Trial_1,0,0,0,9,1645,1,1.8,1.8,6,30,0.5,40.1
Maze_1_Test_7_Trial_2,0,0,0,12,761,1,1.8,1.8,6,30,0.5,40.1
Maze_1_Test_7_Trial_3,0,0,0,7,165,1,1.8,1.8,6,30,0.5,40.1
Maze_1_Test_7_Trial_4,0,0,0,11,683,1,1.8,1.8,6,30,0.5,40.1
Maze_1_Test_7_Trial_5,0,0,0,8,560,1,1.8,1.8,6,30,0.5,40.1
Maze_2_Test_1_Trial_1,147,0.75,1,6,246,0,0.6,0.6,2,10,0.5,13.7
Maze_2_Test_1_Trial_2,0,0,0,1,365,1,0.6,0.6,2,10,0.5,13.7
Maze_2_Test_1_Trial_3,0,0,0,11,286,1,0.6,0.6,2,10,0.5,13.7
Maze_2_Test_1_Trial_4,0,0,0,8,228,1,0.6,0.6,2,10,0.5,13.7
Maze_2_Test_1_Trial_5,0,0,0,11,493,1,0.6,0.6,2,10,0.5,13.7
Maze_2_Test_2_Trial_1,0,0,0,10,121,0,0.904,0.92,3,15,0.75,20.574
Maze_2_Test_2_Trial_2,187,0.16,1,10,10,2,0.904,0.92,3,15,0.75,20.574
Maze_2_Test_2_Trial_3,90,0.625,1,5,70,1,0.904,0.92,3,15,0.75,20.574
Maze_2_Test_2_Trial_4,183,0.625,1,17,187,1,0.904,0.92,3,15,0.75,20.574
Maze_2_Test_2_Trial_5,0,0,0,1,818,1,0.904,0.92,3,15,0.75,20.574
Maze_2_Test_3_Trial_1,142,1,1,10,133,0,1.2,1.2,4,20,1,27.4
Maze_2_Test_3_Trial_2,184,0.667,1,16,138,1,1.2,1.2,4,20,1,27.4
Maze_2_Test_3_Trial_3,633,0.416,1,56,307,2,1.2,1.2,4,20,1,27.4
Maze_2_Test_3_Trial_4,161,1,1,14,105,0,1.2,1.2,4,20,1,27.4
Maze_2_Test_3_Trial_5,116,1,1,9,78,0,1.2,1.2,4,20,1,27.4
Maze_2_Test_4_Trial_1,0,0,0,6,93,0,1.504,1.52,5,25,1,34.024
Maze_2_Test_4_Trial_2,171,0.875,1,14,124,0,1.504,1.52,5,25,1,34.024
Maze_2_Test_4_Trial_3,0,0,0,19,1901,2,1.504,1.52,5,25,1,34.024
Maze_2_Test_4_Trial_4,0,0,0,11,106,0,1.504,1.52,5,25,1,34.024
Maze_2_Test_4_Trial_5,0,0,0,7,967,1,1.504,1.52,5,25,1,34.024
Maze_2_Test_5_Trial_1,130,1,1,10,147,0,1.8,1.8,6,30,1,40.6
Maze_2_Test_5_Trial_2,0,0,0,3,22,0,1.8,1.8,6,30,1,40.6
Maze_2_Test_5_Trial_3,0,0,0,3,24,0,1.8,1.8,6,30,1,40.6
Maze_2_Test_5_Trial_4,0,0,0,3,24,0,1.8,1.8,6,30,1,40.6
Maze_2_Test_5_Trial_5,628,0.875,1,6,98,0,1.8,1.8,6,30,1,40.6
Maze_2_Test_6_Trial_1,46,0.875,1,3,115,0,1.8,0.6,2,10,1,15.4
Maze_2_Test_6_Trial_2,43,0.833,1,3,59,0,1.8,0.6,2,10,1,15.4
Maze_2_Test_6_Trial_3,203,0.875,1,14,304,0,1.8,0.6,2,10,1,15.4
Maze_2_Test_6_Trial_4,234,0.5,1,17,294,2,1.8,0.6,2,10,1,15.4
Maze_2_Test_6_Trial_5,482,1,1,5,68,0,1.8,0.6,2,10,1,15.4
Maze_2_Test_7_Trial_1,308,0.875,1,19,289,0,1.8,1.8,6,30,0.5,40.1
Maze_2_Test_7_Trial_2,0,0,0,11,345,2,1.8,1.8,6,30,0.5,40.1
Maze_2_Test_7_Trial_3,0,0,0,17,662,1,1.8,1.8,6,30,0.5,40.1
Maze_2_Test_7_Trial_4,58,1,1,1,71,0,1.8,1.8,6,30,0.5,40.1
Maze_2_Test_7_Trial_5,0,0,0,45,679,1,1.8,1.8,6,30,0.5,40.1
